date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-06-22,GO,Carmo do Rio Verde,city,623,24,True,10186,5205000,6116.23797,0.0385
2021-06-22,GO,Castelândia,city,328,12,True,3407,5205059,9627.23804,0.0366
2021-06-22,GO,Catalão,city,9900,339,True,110983,5205109,8920.28509,0.0342
2021-06-22,GO,Caturaí,city,458,17,True,5101,5205208,8978.63164,0.0371
2021-06-22,GO,Cavalcante,city,348,4,True,9725,5205307,3578.40617,0.0115
2021-06-22,GO,Ceres,city,2619,82,True,22306,5205406,11741.23554,0.0313
2021-06-22,GO,Cezarina,city,899,35,True,8703,5205455,10329.77134,0.0389
2021-06-22,GO,Chapadão do Céu,city,1714,19,True,10486,5205471,16345.60366,0.0111
2021-06-22,GO,Cidade Ocidental,city,5468,122,True,72890,5205497,7501.71491,0.0223
2021-06-22,GO,Cocalzinho de Goiás,city,1706,34,True,20504,5205513,8320.32774,0.0199
2021-06-22,GO,Colinas do Sul,city,291,3,True,3360,5205521,8660.71429,0.0103
2021-06-22,GO,Córrego do Ouro,city,261,5,True,2290,5205703,11397.37991,0.0192
2021-06-22,GO,Corumbá de Goiás,city,653,27,True,11169,5205802,5846.53953,0.0413
2021-06-22,GO,Corumbaíba,city,943,32,True,9869,5205901,9555.17276,0.0339
2021-06-22,GO,Cristalina,city,2843,87,True,60210,5206206,4721.80701,0.0306
2021-06-22,GO,Cristianópolis,city,255,3,True,2964,5206305,8603.23887,0.0118
2021-06-22,GO,Crixás,city,2132,59,True,17044,5206404,12508.80075,0.0277
2021-06-22,GO,Cromínia,city,217,6,True,3472,5206503,6250.0,0.0276
