Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Carutapera,210290,MA,Nordeste,FIOCRUZ/ASTRAZENECA,3249,2987,262
Carutapera,210290,MA,Nordeste,BUTANTAN/SINOVAC,2675,1418,1257
Carvalhópolis,311470,MG,Sudeste,BUTANTAN/SINOVAC,1088,547,541
Carvalhópolis,311470,MG,Sudeste,FIOCRUZ/ASTRAZENECA,923,825,98
Carvalhópolis,311470,MG,Sudeste,PFIZER/BIONTECH,40,40,0
Carvalhos,311480,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1350,1256,94
Carvalhos,311480,MG,Sudeste,BUTANTAN/SINOVAC,1208,616,592
Carvalhos,311480,MG,Sudeste,PFIZER/BIONTECH,5,5,0
Casa Branca,351080,SP,Sudeste,BUTANTAN/SINOVAC,6898,3678,3220
Casa Branca,351080,SP,Sudeste,FIOCRUZ/ASTRAZENECA,5254,4768,486
Casa Branca,351080,SP,Sudeste,PFIZER/BIONTECH,219,219,0
Casa Grande,311490,MG,Sudeste,BUTANTAN/SINOVAC,563,285,278
Casa Grande,311490,MG,Sudeste,FIOCRUZ/ASTRAZENECA,555,423,132
Casa Grande,311490,MG,Sudeste,PFIZER/BIONTECH,44,44,0
Casa Nova,290720,BA,Nordeste,BUTANTAN/SINOVAC,11804,6257,5547
Casa Nova,290720,BA,Nordeste,FIOCRUZ/ASTRAZENECA,11427,10588,839
Casa Nova,290720,BA,Nordeste,PFIZER/BIONTECH,29,29,0
Casca,430490,RS,Sul,FIOCRUZ/ASTRAZENECA,3051,2647,404
Casca,430490,RS,Sul,BUTANTAN/SINOVAC,2614,1335,1279
Casca,430490,RS,Sul,PFIZER/BIONTECH,281,281,0
Cascalho Rico,311500,MG,Sudeste,BUTANTAN/SINOVAC,841,433,408
Cascalho Rico,311500,MG,Sudeste,FIOCRUZ/ASTRAZENECA,747,664,83
Cascalho Rico,311500,MG,Sudeste,PFIZER/BIONTECH,48,48,0
Cascavel,230350,CE,Nordeste,FIOCRUZ/ASTRAZENECA,4888,4739,149
Cascavel,230350,CE,Nordeste,BUTANTAN/SINOVAC,1886,1190,696
Cascavel,230350,CE,Nordeste,PFIZER/BIONTECH,354,354,0
Cascavel,410480,PR,Sul,FIOCRUZ/ASTRAZENECA,80030,71726,8304
Cascavel,410480,PR,Sul,BUTANTAN/SINOVAC,63902,32135,31767
Cascavel,410480,PR,Sul,PFIZER/BIONTECH,17206,17196,10
Caseara,170390,TO,Norte,BUTANTAN/SINOVAC,798,418,380
Caseara,170390,TO,Norte,FIOCRUZ/ASTRAZENECA,640,622,18
Caseiros,430495,RS,Sul,BUTANTAN/SINOVAC,909,455,454
Caseiros,430495,RS,Sul,FIOCRUZ/ASTRAZENECA,737,677,60
Caseiros,430495,RS,Sul,PFIZER/BIONTECH,150,150,0
Casimiro De Abreu,330130,RJ,Sudeste,BUTANTAN/SINOVAC,10054,5667,4387
Casimiro De Abreu,330130,RJ,Sudeste,FIOCRUZ/ASTRAZENECA,5912,5375,537
Casimiro De Abreu,330130,RJ,Sudeste,PFIZER/BIONTECH,817,814,3
Casinhas,260415,PE,Nordeste,FIOCRUZ/ASTRAZENECA,3240,3006,234
Casinhas,260415,PE,Nordeste,BUTANTAN/SINOVAC,2349,1318,1031
Casinhas,260415,PE,Nordeste,PFIZER/BIONTECH,165,165,0
Casserengue,250415,PB,Nordeste,BUTANTAN/SINOVAC,1861,1034,827
Casserengue,250415,PB,Nordeste,FIOCRUZ/ASTRAZENECA,885,759,126
Casserengue,250415,PB,Nordeste,PFIZER/BIONTECH,30,30,0
Cássia,311510,MG,Sudeste,BUTANTAN/SINOVAC,4339,2230,2109
Cássia,311510,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3812,3511,301
Cássia,311510,MG,Sudeste,PFIZER/BIONTECH,304,304,0
Cássia Dos Coqueiros,351090,SP,Sudeste,BUTANTAN/SINOVAC,1540,743,797
Cássia Dos Coqueiros,351090,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1303,1177,126
Cássia Dos Coqueiros,351090,SP,Sudeste,PFIZER/BIONTECH,41,41,0
Cassilândia,500290,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,7113,6423,690
Cassilândia,500290,MS,Centro-Oeste,BUTANTAN/SINOVAC,6830,3599,3231
Cassilândia,500290,MS,Centro-Oeste,PFIZER/BIONTECH,746,744,2
Castanhal,150240,PA,Norte,FIOCRUZ/ASTRAZENECA,21968,20067,1901
Castanhal,150240,PA,Norte,BUTANTAN/SINOVAC,21571,13024,8547
Castanheira,510285,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1745,1678,67
Castanheira,510285,MT,Centro-Oeste,BUTANTAN/SINOVAC,1272,646,626
Castanheiras,110090,RO,Norte,BUTANTAN/SINOVAC,883,456,427
Castanheiras,110090,RO,Norte,FIOCRUZ/ASTRAZENECA,650,618,32
Castanheiras,110090,RO,Norte,PFIZER/BIONTECH,6,6,0
Castelândia,520505,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,874,816,58
Castelândia,520505,GO,Centro-Oeste,BUTANTAN/SINOVAC,712,403,309
Castelo,320140,ES,Sudeste,BUTANTAN/SINOVAC,10017,5228,4789
Castelo,320140,ES,Sudeste,FIOCRUZ/ASTRAZENECA,8082,7618,464
Castelo,320140,ES,Sudeste,PFIZER/BIONTECH,1173,1173,0
Castelo Do Piauí,220260,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3748,3471,277
Castelo Do Piauí,220260,PI,Nordeste,BUTANTAN/SINOVAC,3535,1869,1666
Castilho,351100,SP,Sudeste,BUTANTAN/SINOVAC,5250,2697,2553
Castilho,351100,SP,Sudeste,FIOCRUZ/ASTRAZENECA,4358,4010,348
Castilho,351100,SP,Sudeste,PFIZER/BIONTECH,513,513,0
Castro,410490,PR,Sul,FIOCRUZ/ASTRAZENECA,12970,12280,690
Castro,410490,PR,Sul,BUTANTAN/SINOVAC,10847,5665,5182
Castro,410490,PR,Sul,PFIZER/BIONTECH,3196,3193,3
Castro Alves,290730,BA,Nordeste,FIOCRUZ/ASTRAZENECA,5287,4940,347
Castro Alves,290730,BA,Nordeste,BUTANTAN/SINOVAC,4576,2352,2224
Castro Alves,290730,BA,Nordeste,PFIZER/BIONTECH,735,734,1
Cataguases,311530,MG,Sudeste,BUTANTAN/SINOVAC,16195,8362,7833
Cataguases,311530,MG,Sudeste,FIOCRUZ/ASTRAZENECA,13263,12446,817
Cataguases,311530,MG,Sudeste,PFIZER/BIONTECH,774,774,0
Catalão,520510,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,26356,24934,1422
Catalão,520510,GO,Centro-Oeste,BUTANTAN/SINOVAC,13450,7492,5958
Catalão,520510,GO,Centro-Oeste,PFIZER/BIONTECH,2817,2812,5
Catanduva,351110,SP,Sudeste,BUTANTAN/SINOVAC,33298,18176,15122
Catanduva,351110,SP,Sudeste,FIOCRUZ/ASTRAZENECA,29826,26382,3444
Catanduva,351110,SP,Sudeste,PFIZER/BIONTECH,1087,1083,4
Catanduvas,410500,PR,Sul,FIOCRUZ/ASTRAZENECA,2225,2107,118
Catanduvas,410500,PR,Sul,BUTANTAN/SINOVAC,1796,947,849
Catanduvas,420400,SC,Sul,FIOCRUZ/ASTRAZENECA,2697,2544,153
Catanduvas,420400,SC,Sul,BUTANTAN/SINOVAC,1935,989,946
Catanduvas,420400,SC,Sul,PFIZER/BIONTECH,132,132,0
Catarina,230360,CE,Nordeste,BUTANTAN/SINOVAC,3501,1872,1629
Catarina,230360,CE,Nordeste,FIOCRUZ/ASTRAZENECA,1170,944,226
Catarina,230360,CE,Nordeste,PFIZER/BIONTECH,2,2,0
Catas Altas,311535,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1501,1344,157
Catas Altas,311535,MG,Sudeste,BUTANTAN/SINOVAC,1214,627,587
Catas Altas,311535,MG,Sudeste,PFIZER/BIONTECH,49,49,0
Catas Altas Da Noruega,311540,MG,Sudeste,FIOCRUZ/ASTRAZENECA,845,661,184
Catas Altas Da Noruega,311540,MG,Sudeste,BUTANTAN/SINOVAC,824,452,372
Catas Altas Da Noruega,311540,MG,Sudeste,PFIZER/BIONTECH,7,7,0
Catende,260420,PE,Nordeste,BUTANTAN/SINOVAC,5174,2740,2434
Catende,260420,PE,Nordeste,FIOCRUZ/ASTRAZENECA,3915,3610,305
Catende,260420,PE,Nordeste,PFIZER/BIONTECH,294,291,3
Catiguá,351120,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1893,1746,147
Catiguá,351120,SP,Sudeste,BUTANTAN/SINOVAC,1750,938,812
Catiguá,351120,SP,Sudeste,PFIZER/BIONTECH,181,181,0
Catingueira,250420,PB,Nordeste,BUTANTAN/SINOVAC,1084,560,524
Catingueira,250420,PB,Nordeste,FIOCRUZ/ASTRAZENECA,821,760,61
Catingueira,250420,PB,Nordeste,PFIZER/BIONTECH,111,111,0
Catolândia,290740,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1491,1242,249
Catolândia,290740,BA,Nordeste,BUTANTAN/SINOVAC,1447,808,639
Catolândia,290740,BA,Nordeste,PFIZER/BIONTECH,34,34,0
Catolé Do Rocha,250430,PB,Nordeste,BUTANTAN/SINOVAC,6823,3427,3396
Catolé Do Rocha,250430,PB,Nordeste,FIOCRUZ/ASTRAZENECA,5260,4800,460
Catolé Do Rocha,250430,PB,Nordeste,PFIZER/BIONTECH,149,149,0
Catu,290750,BA,Nordeste,FIOCRUZ/ASTRAZENECA,8988,8375,613
Catu,290750,BA,Nordeste,BUTANTAN/SINOVAC,8383,4216,4167
Catu,290750,BA,Nordeste,PFIZER/BIONTECH,808,808,0
Catuípe,430500,RS,Sul,BUTANTAN/SINOVAC,2949,1521,1428
Catuípe,430500,RS,Sul,FIOCRUZ/ASTRAZENECA,2654,2301,353
Catuípe,430500,RS,Sul,PFIZER/BIONTECH,346,346,0
Catuji,311545,MG,Sudeste,BUTANTAN/SINOVAC,987,498,489
Catuji,311545,MG,Sudeste,FIOCRUZ/ASTRAZENECA,778,773,5
Catunda,230365,CE,Nordeste,BUTANTAN/SINOVAC,2149,1077,1072
Catunda,230365,CE,Nordeste,FIOCRUZ/ASTRAZENECA,1936,1702,234
Caturaí,520520,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1301,1236,65
Caturaí,520520,GO,Centro-Oeste,BUTANTAN/SINOVAC,1153,675,478
Caturaí,520520,GO,Centro-Oeste,PFIZER/BIONTECH,71,71,0
Caturama,290755,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3866,3536,330
Caturama,290755,BA,Nordeste,BUTANTAN/SINOVAC,2638,1342,1296
Caturama,290755,BA,Nordeste,PFIZER/BIONTECH,30,30,0
Caturité,250435,PB,Nordeste,BUTANTAN/SINOVAC,1171,590,581
Caturité,250435,PB,Nordeste,FIOCRUZ/ASTRAZENECA,653,613,40
Caturité,250435,PB,Nordeste,PFIZER/BIONTECH,34,34,0
Catuti,311547,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1140,1087,53
Catuti,311547,MG,Sudeste,BUTANTAN/SINOVAC,1027,530,497
Catuti,311547,MG,Sudeste,PFIZER/BIONTECH,35,35,0
Caucaia,230370,CE,Nordeste,BUTANTAN/SINOVAC,50930,29370,21560
Caucaia,230370,CE,Nordeste,FIOCRUZ/ASTRAZENECA,11710,10709,1001
Cavalcante,520530,GO,Centro-Oeste,BUTANTAN/SINOVAC,5794,2987,2807
Cavalcante,520530,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2886,2668,218
Caxambu,311550,MG,Sudeste,BUTANTAN/SINOVAC,5491,2774,2717
Caxambu,311550,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5171,4644,527
Caxambu,311550,MG,Sudeste,PFIZER/BIONTECH,44,44,0
Caxambu Do Sul,420410,SC,Sul,BUTANTAN/SINOVAC,1226,639,587
Caxambu Do Sul,420410,SC,Sul,FIOCRUZ/ASTRAZENECA,1186,1090,96
Caxambu Do Sul,420410,SC,Sul,PFIZER/BIONTECH,70,70,0
Caxias,210300,MA,Nordeste,FIOCRUZ/ASTRAZENECA,40266,37962,2304
Caxias,210300,MA,Nordeste,BUTANTAN/SINOVAC,29289,16026,13263
Caxias,210300,MA,Nordeste,PFIZER/BIONTECH,3790,3787,3
Caxias Do Sul,430510,RS,Sul,FIOCRUZ/ASTRAZENECA,123105,111878,11227
Caxias Do Sul,430510,RS,Sul,BUTANTAN/SINOVAC,103705,52718,50987
Caxias Do Sul,430510,RS,Sul,PFIZER/BIONTECH,10309,10293,16
Caxingó,220265,PI,Nordeste,BUTANTAN/SINOVAC,619,341,278
Caxingó,220265,PI,Nordeste,FIOCRUZ/ASTRAZENECA,519,494,25
Ceará-Mirim,240260,RN,Nordeste,FIOCRUZ/ASTRAZENECA,13674,12623,1051
Ceará-Mirim,240260,RN,Nordeste,BUTANTAN/SINOVAC,10866,5557,5309
Ceará-Mirim,240260,RN,Nordeste,PFIZER/BIONTECH,957,956,1
Cedral,210310,MA,Nordeste,FIOCRUZ/ASTRAZENECA,4267,3709,558
Cedral,210310,MA,Nordeste,BUTANTAN/SINOVAC,1528,830,698
Cedral,351130,SP,Sudeste,BUTANTAN/SINOVAC,2925,1617,1308
Cedral,351130,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2736,2383,353
Cedral,351130,SP,Sudeste,PFIZER/BIONTECH,106,106,0
Cedro,230380,CE,Nordeste,BUTANTAN/SINOVAC,5588,3016,2572
Cedro,230380,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2680,2207,473
Cedro,230380,CE,Nordeste,PFIZER/BIONTECH,1,1,0
Cedro,260430,PE,Nordeste,FIOCRUZ/ASTRAZENECA,2098,1892,206
Cedro,260430,PE,Nordeste,BUTANTAN/SINOVAC,1998,1014,984
Cedro,260430,PE,Nordeste,PFIZER/BIONTECH,311,311,0
Cedro De São João,280160,SE,Nordeste,BUTANTAN/SINOVAC,1461,758,703
Cedro De São João,280160,SE,Nordeste,FIOCRUZ/ASTRAZENECA,1124,1110,14
Cedro De São João,280160,SE,Nordeste,PFIZER/BIONTECH,153,153,0
Cedro Do Abaeté,311560,MG,Sudeste,BUTANTAN/SINOVAC,455,236,219
Cedro Do Abaeté,311560,MG,Sudeste,FIOCRUZ/ASTRAZENECA,384,344,40
Cedro Do Abaeté,311560,MG,Sudeste,PFIZER/BIONTECH,30,30,0
Celso Ramos,420415,SC,Sul,BUTANTAN/SINOVAC,776,400,376
Celso Ramos,420415,SC,Sul,FIOCRUZ/ASTRAZENECA,755,725,30
Celso Ramos,420415,SC,Sul,PFIZER/BIONTECH,66,66,0
Centenário,170410,TO,Norte,BUTANTAN/SINOVAC,513,268,245
Centenário,170410,TO,Norte,FIOCRUZ/ASTRAZENECA,399,367,32
Centenário,430511,RS,Sul,BUTANTAN/SINOVAC,1090,542,548
Centenário,430511,RS,Sul,FIOCRUZ/ASTRAZENECA,979,896,83
Centenário,430511,RS,Sul,PFIZER/BIONTECH,31,31,0
Centenário Do Sul,410510,PR,Sul,FIOCRUZ/ASTRAZENECA,3213,3018,195
Centenário Do Sul,410510,PR,Sul,BUTANTAN/SINOVAC,2430,1272,1158
Central,290760,BA,Nordeste,FIOCRUZ/ASTRAZENECA,5749,4864,885
Central,290760,BA,Nordeste,BUTANTAN/SINOVAC,3592,1838,1754
Central,290760,BA,Nordeste,PFIZER/BIONTECH,165,162,3
Central De Minas,311570,MG,Sudeste,BUTANTAN/SINOVAC,1396,819,577
Central De Minas,311570,MG,Sudeste,FIOCRUZ/ASTRAZENECA,943,853,90
Central De Minas,311570,MG,Sudeste,PFIZER/BIONTECH,31,30,1
Central Do Maranhão,210312,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2119,2024,95
Central Do Maranhão,210312,MA,Nordeste,BUTANTAN/SINOVAC,1138,590,548
Centralina,311580,MG,Sudeste,BUTANTAN/SINOVAC,2207,1113,1094
Centralina,311580,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1710,1539,171
Centralina,311580,MG,Sudeste,PFIZER/BIONTECH,158,158,0
Centro Do Guilherme,210315,MA,Nordeste,FIOCRUZ/ASTRAZENECA,1483,1422,61
Centro Do Guilherme,210315,MA,Nordeste,BUTANTAN/SINOVAC,1274,752,522
Centro Novo Do Maranhão,210317,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2820,2677,143
Centro Novo Do Maranhão,210317,MA,Nordeste,BUTANTAN/SINOVAC,2075,1091,984
Cerejeiras,110005,RO,Norte,BUTANTAN/SINOVAC,3291,1689,1602
Cerejeiras,110005,RO,Norte,FIOCRUZ/ASTRAZENECA,2999,2853,146
Cerejeiras,110005,RO,Norte,PFIZER/BIONTECH,335,334,1
Ceres,520540,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4449,4339,110
Ceres,520540,GO,Centro-Oeste,BUTANTAN/SINOVAC,3390,2269,1121
Ceres,520540,GO,Centro-Oeste,PFIZER/BIONTECH,1010,1010,0
Cerqueira César,351140,SP,Sudeste,BUTANTAN/SINOVAC,4909,2481,2428
Cerqueira César,351140,SP,Sudeste,FIOCRUZ/ASTRAZENECA,4348,4068,280
Cerqueira César,351140,SP,Sudeste,PFIZER/BIONTECH,586,586,0
Cerquilho,351150,SP,Sudeste,FIOCRUZ/ASTRAZENECA,11621,10757,864
Cerquilho,351150,SP,Sudeste,BUTANTAN/SINOVAC,7961,4365,3596
Cerquilho,351150,SP,Sudeste,PFIZER/BIONTECH,294,294,0
Cerrito,430512,RS,Sul,BUTANTAN/SINOVAC,2163,1106,1057
Cerrito,430512,RS,Sul,FIOCRUZ/ASTRAZENECA,1816,1524,292
Cerrito,430512,RS,Sul,PFIZER/BIONTECH,100,100,0
Cerro Azul,410520,PR,Sul,FIOCRUZ/ASTRAZENECA,3756,3619,137
Cerro Azul,410520,PR,Sul,BUTANTAN/SINOVAC,3064,1590,1474
Cerro Branco,430513,RS,Sul,BUTANTAN/SINOVAC,1430,718,712
Cerro Branco,430513,RS,Sul,FIOCRUZ/ASTRAZENECA,929,828,101
Cerro Branco,430513,RS,Sul,PFIZER/BIONTECH,117,117,0
Cerro Corá,240270,RN,Nordeste,BUTANTAN/SINOVAC,2147,1059,1088
Cerro Corá,240270,RN,Nordeste,FIOCRUZ/ASTRAZENECA,2084,1905,179
Cerro Corá,240270,RN,Nordeste,PFIZER/BIONTECH,200,198,2
Cerro Grande,430515,RS,Sul,BUTANTAN/SINOVAC,702,371,331
Cerro Grande,430515,RS,Sul,FIOCRUZ/ASTRAZENECA,646,597,49
Cerro Grande,430515,RS,Sul,PFIZER/BIONTECH,87,87,0
Cerro Grande Do Sul,430517,RS,Sul,FIOCRUZ/ASTRAZENECA,2438,2304,134
Cerro Grande Do Sul,430517,RS,Sul,BUTANTAN/SINOVAC,2211,1113,1098
Cerro Grande Do Sul,430517,RS,Sul,PFIZER/BIONTECH,167,167,0
Cerro Largo,430520,RS,Sul,BUTANTAN/SINOVAC,4105,2103,2002
Cerro Largo,430520,RS,Sul,FIOCRUZ/ASTRAZENECA,3483,3039,444
Cerro Largo,430520,RS,Sul,PFIZER/BIONTECH,599,597,2
Cerro Negro,420417,SC,Sul,FIOCRUZ/ASTRAZENECA,1179,1113,66
Cerro Negro,420417,SC,Sul,BUTANTAN/SINOVAC,982,550,432
Cesário Lange,351160,SP,Sudeste,FIOCRUZ/ASTRAZENECA,3853,3615,238
Cesário Lange,351160,SP,Sudeste,BUTANTAN/SINOVAC,3391,1788,1603
Cesário Lange,351160,SP,Sudeste,PFIZER/BIONTECH,275,275,0
Céu Azul,410530,PR,Sul,FIOCRUZ/ASTRAZENECA,2611,2470,141
Céu Azul,410530,PR,Sul,BUTANTAN/SINOVAC,2401,1265,1136
Céu Azul,410530,PR,Sul,PFIZER/BIONTECH,159,159,0
Cezarina,520545,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1399,1316,83
Cezarina,520545,GO,Centro-Oeste,BUTANTAN/SINOVAC,1229,684,545
Chã De Alegria,260440,PE,Nordeste,BUTANTAN/SINOVAC,2525,1336,1189
Chã De Alegria,260440,PE,Nordeste,FIOCRUZ/ASTRAZENECA,2052,1842,210
Chã De Alegria,260440,PE,Nordeste,PFIZER/BIONTECH,99,99,0
Chã Grande,260450,PE,Nordeste,FIOCRUZ/ASTRAZENECA,4369,4046,323
Chã Grande,260450,PE,Nordeste,BUTANTAN/SINOVAC,3474,1778,1696
Chã Grande,260450,PE,Nordeste,PFIZER/BIONTECH,370,370,0
Chã Preta,270190,AL,Nordeste,FIOCRUZ/ASTRAZENECA,1194,1034,160
Chã Preta,270190,AL,Nordeste,BUTANTAN/SINOVAC,1122,559,563
Chã Preta,270190,AL,Nordeste,PFIZER/BIONTECH,80,80,0
Chácara,311590,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1404,1316,88
Chácara,311590,MG,Sudeste,BUTANTAN/SINOVAC,849,441,408
Chácara,311590,MG,Sudeste,PFIZER/BIONTECH,67,67,0
Chalé,311600,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1678,1419,259
Chalé,311600,MG,Sudeste,BUTANTAN/SINOVAC,1293,654,639
Chalé,311600,MG,Sudeste,PFIZER/BIONTECH,84,84,0
Chapada,430530,RS,Sul,BUTANTAN/SINOVAC,3015,1519,1496
Chapada,430530,RS,Sul,FIOCRUZ/ASTRAZENECA,2531,2294,237
Chapada,430530,RS,Sul,PFIZER/BIONTECH,367,367,0
Chapada Da Natividade,170510,TO,Norte,BUTANTAN/SINOVAC,691,362,329
Chapada Da Natividade,170510,TO,Norte,FIOCRUZ/ASTRAZENECA,668,633,35
Chapada De Areia,170460,TO,Norte,BUTANTAN/SINOVAC,400,211,189
Chapada De Areia,170460,TO,Norte,FIOCRUZ/ASTRAZENECA,288,268,20
Chapada Do Norte,311610,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3558,3385,173
Chapada Do Norte,311610,MG,Sudeste,BUTANTAN/SINOVAC,2083,1056,1027
Chapada Do Norte,311610,MG,Sudeste,PFIZER/BIONTECH,160,160,0
Chapada Dos Guimarães,510300,MT,Centro-Oeste,BUTANTAN/SINOVAC,4561,2340,2221
Chapada Dos Guimarães,510300,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3883,3696,187
Chapada Dos Guimarães,510300,MT,Centro-Oeste,PFIZER/BIONTECH,67,67,0
Chapada Gaúcha,311615,MG,Sudeste,BUTANTAN/SINOVAC,2635,1344,1291
Chapada Gaúcha,311615,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1428,1279,149
Chapada Gaúcha,311615,MG,Sudeste,PFIZER/BIONTECH,28,28,0
Chapadão Do Céu,520547,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1594,1512,82
Chapadão Do Céu,520547,GO,Centro-Oeste,BUTANTAN/SINOVAC,875,450,425
Chapadão Do Céu,520547,GO,Centro-Oeste,PFIZER/BIONTECH,55,55,0
Chapadão Do Lageado,420419,SC,Sul,FIOCRUZ/ASTRAZENECA,673,633,40
Chapadão Do Lageado,420419,SC,Sul,BUTANTAN/SINOVAC,560,284,276
Chapadão Do Lageado,420419,SC,Sul,PFIZER/BIONTECH,61,61,0
Chapadão Do Sul,500295,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4816,4508,308
Chapadão Do Sul,500295,MS,Centro-Oeste,BUTANTAN/SINOVAC,3128,1588,1540
Chapadão Do Sul,500295,MS,Centro-Oeste,PFIZER/BIONTECH,741,741,0
Chapadinha,210320,MA,Nordeste,FIOCRUZ/ASTRAZENECA,12744,12147,597
Chapadinha,210320,MA,Nordeste,BUTANTAN/SINOVAC,8790,4554,4236
Chapadinha,210320,MA,Nordeste,PFIZER/BIONTECH,629,629,0
Chapecó,420420,SC,Sul,FIOCRUZ/ASTRAZENECA,57872,53383,4489
Chapecó,420420,SC,Sul,BUTANTAN/SINOVAC,46329,24472,21857
Chapecó,420420,SC,Sul,PFIZER/BIONTECH,5893,5888,5
Charqueada,351170,SP,Sudeste,FIOCRUZ/ASTRAZENECA,3425,3237,188
Charqueada,351170,SP,Sudeste,BUTANTAN/SINOVAC,3076,1623,1453
Charqueada,351170,SP,Sudeste,PFIZER/BIONTECH,136,136,0
Charqueadas,430535,RS,Sul,BUTANTAN/SINOVAC,9277,4778,4499
Charqueadas,430535,RS,Sul,FIOCRUZ/ASTRAZENECA,8383,7645,738
Charqueadas,430535,RS,Sul,PFIZER/BIONTECH,533,533,0
Charrua,430537,RS,Sul,BUTANTAN/SINOVAC,2501,1243,1258
Charrua,430537,RS,Sul,FIOCRUZ/ASTRAZENECA,685,587,98
Charrua,430537,RS,Sul,PFIZER/BIONTECH,90,90,0
Chaval,230390,CE,Nordeste,BUTANTAN/SINOVAC,2129,1160,969
Chaval,230390,CE,Nordeste,FIOCRUZ/ASTRAZENECA,888,742,146
Chaval,230390,CE,Nordeste,PFIZER/BIONTECH,10,10,0
Chavantes,355720,SP,Sudeste,BUTANTAN/SINOVAC,2627,1300,1327
Chavantes,355720,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1923,1830,93
Chavantes,355720,SP,Sudeste,PFIZER/BIONTECH,20,20,0
Chaves,150250,PA,Norte,FIOCRUZ/ASTRAZENECA,3295,3178,117
Chaves,150250,PA,Norte,BUTANTAN/SINOVAC,824,442,382
Chiador,311620,MG,Sudeste,BUTANTAN/SINOVAC,818,413,405
Chiador,311620,MG,Sudeste,FIOCRUZ/ASTRAZENECA,707,630,77
Chiapetta,430540,RS,Sul,BUTANTAN/SINOVAC,1274,651,623
Chiapetta,430540,RS,Sul,FIOCRUZ/ASTRAZENECA,1119,967,152
Chiapetta,430540,RS,Sul,PFIZER/BIONTECH,166,166,0
Chopinzinho,410540,PR,Sul,BUTANTAN/SINOVAC,4895,2503,2392
Chopinzinho,410540,PR,Sul,FIOCRUZ/ASTRAZENECA,4536,4188,348
Chopinzinho,410540,PR,Sul,PFIZER/BIONTECH,77,77,0
Choró,230393,CE,Nordeste,BUTANTAN/SINOVAC,2088,1157,931
Choró,230393,CE,Nordeste,FIOCRUZ/ASTRAZENECA,436,417,19
Chorozinho,230395,CE,Nordeste,BUTANTAN/SINOVAC,2717,1471,1246
Chorozinho,230395,CE,Nordeste,FIOCRUZ/ASTRAZENECA,1083,896,187
Chorrochó,290770,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1778,1551,227
Chorrochó,290770,BA,Nordeste,BUTANTAN/SINOVAC,1724,955,769
Chorrochó,290770,BA,Nordeste,PFIZER/BIONTECH,239,239,0
Chuí,430543,RS,Sul,BUTANTAN/SINOVAC,1335,695,640
Chuí,430543,RS,Sul,FIOCRUZ/ASTRAZENECA,504,419,85
Chuí,430543,RS,Sul,PFIZER/BIONTECH,53,53,0
Chupinguaia,110092,RO,Norte,BUTANTAN/SINOVAC,1189,641,548
Chupinguaia,110092,RO,Norte,FIOCRUZ/ASTRAZENECA,1173,1062,111
Chuvisca,430544,RS,Sul,BUTANTAN/SINOVAC,1112,687,425
Chuvisca,430544,RS,Sul,FIOCRUZ/ASTRAZENECA,647,589,58
Chuvisca,430544,RS,Sul,PFIZER/BIONTECH,20,20,0
Cianorte,410550,PR,Sul,FIOCRUZ/ASTRAZENECA,19509,18372,1137
Cianorte,410550,PR,Sul,BUTANTAN/SINOVAC,15638,8150,7488
Cianorte,410550,PR,Sul,PFIZER/BIONTECH,2073,2073,0
Cícero Dantas,290780,BA,Nordeste,BUTANTAN/SINOVAC,7266,4026,3240
Cícero Dantas,290780,BA,Nordeste,FIOCRUZ/ASTRAZENECA,6767,6453,314
Cícero Dantas,290780,BA,Nordeste,PFIZER/BIONTECH,587,587,0
