Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Jacuí,3134806,jacuiense,GERALDO MAGELA DA SILVA,409.229,7691,18.33,97.9,0.668,10.99,20768.43251,18453.07886,14048.57
Jacutinga,3134905,jacutinguense,MELQUIADES DE ARAUJO,347.667,26264,65.48,94.5,0.715,14.39,67681.14995,61798.73042,24900
Jaguaraçu,3135001,jaguaraçuense,JOSE JUNIO ANDRADE DE LIMA,163.76,3142,18.26,99.1,0.679,34.48,15566.87376,12378.71073,20562.63
Jaíba,3135050,jaibense,REGINALDO ANTONIO DA SILVA,2635.467,39388,12.79,97.4,0.638,11.65,69631.37915,62204.9094,14639.28
Jampruca,3135076,jampruquense,POLLIANE DE CASTRO NUNES BASTOS,517.095,5429,9.8,97.7,0.609,18.18,15378.40735,13909.6993,10044.44
Janaúba,3135100,janaubense,CARLOS ISAILDON MENDES,2181.319,72018,30.63,98.5,0.696,6.88,181150.26897,179742.24621,15304.43
Januária,3135209,januarense,MARCELO FELIX ALVES DE ARAUJO,6661.588,67852,9.83,96.4,0.658,11.59,105955.82067,99390.48226,9860.09
Japaraíba,3135308,japaraíbano,ROBERTO EMILIO LOPES,172.141,4384,22.88,99.7,0.721,14.93,17945.28094,14420.65046,15784.89
Japonvar,3135357,japonvaense,LEONARDO DURAES DE ALMEIDA,375.181,7982,22.11,97.8,0.608,9.35,20812.77953,18688.04748,6639.89
Jeceaba,3135407,jeceabense,FABIO VASCONCELOS,236.25,4852,22.84,98.4,0.661,19.61,51891.62844,47222.22235,147812.77
Jenipapo de Minas,3135456,jenipapense,CARLOS JOSÉ DE JESUS SENA,284.453,7738,25.02,99.1,0.624,10.75,17242.07642,15781.32774,9093.03
Jequeri,3135506,jequeriense,ADILSON LOPES SILVA,547.897,12315,23.45,94.9,0.601,24,32209.50574,30583.3829,11313.92
Jequitaí,3135605,jequitaiense,JOAQUIM ISIDORO DE OLIVEIRA,1268.443,7468,6.31,97.9,0.643,12.05,18401.86219,15893.62633,9968.5
Jequitibá,3135704,jequitibaense,HUMBERTO FERNANDO CAMPELO REIS,445.03,5207,11.59,96.7,0.689,21.28,17731.77131,16293.36317,16771.34
Jequitinhonha,3135803,jequitinhonhense,ROBERTO ALCANTARA BOTELHO,3514.216,25474,6.87,96,0.615,17.92,54076.14674,48479.80927,8806.28
Jesuânia,3135902,jesuanense,JOSÉ DONIZETTE NOGUEIRA,153.852,4780,30.99,97.1,0.658,15.87,15329.58104,12932.94787,13155.41
Joaíma,3136009,joaimense,DAURO BARRETO MELO FILHO,1664.19,15455,8.98,95.3,0.587,10.47,34826.88302,31892.74494,8431.16
Joanésia,3136108,joanense,DENILSON ANDRADE DE ASSIS,233.292,4476,23.25,98.6,0.626,29.41,16667.14349,14224.81155,15436.22
João Monlevade,3136207,monlevadense,SIMONE CARVALHO,99.158,80416,742.35,98.4,0.758,14.84,207915.68,188260.932,32537.18
João Pinheiro,3136306,pinheirense,EDMAR XAVIER MACIEL,10727.097,47726,4.22,94.9,0.697,7.75,119011.00817,100074.65829,29986.86
Joaquim Felício,3136405,feliciano,ELIANA COLEN PIMENTA DE ABUABARA,790.935,4727,5.44,97.5,0.637,20.83,16364.23483,14231.2904,8649.46
Jordânia,3136504,jordainense,MARQUES-UEL MEIRA DE OLIVEIRA,546.705,10842,18.88,97.4,0.628,26.79,20356.42858,18893.32589,7523.61
José Gonçalves de Minas,3136520,gonçalvense,AECIO RODRIGUES MOTOSO,381.332,4487,11.94,99.2,0.632,16.67,17718.72258,14307.81091,9715.27
José Raydan,3136553,josé raydanense,ELIAS SILVEIRA GODINHO,180.822,5050,24.2,99,0.617,44.44,14589.73942,12182.3491,11157.41
Josenópolis,3136579,josenopolense,PAULA ANDRADE VIANA ALCANTARA,541.393,4889,8.43,96.1,0.564,45.45,16179.74491,14242.63977,7427.46
Nova União,3136603,nova-uniense,AILTON ANTONIO GUIMARAES ROSA,172.131,5732,32.27,98.6,0.662,12.66,16103.41514,16346.72458,14155.82
Juatuba,3136652,juatubense,VALÉRIA APARECIDA DOS SANTOS,97.172,27392,223.04,98.8,0.717,10.2,114495.68383,94492.77575,46449.9
Juiz de Fora,3136702,juiz-forano,ANTÔNIO CARLOS GUEDES ALMAS,1435.749,573285,359.59,98.3,0.778,10.32,1578267.99129,1571853.67931,28355.07
Juramento,3136801,juramentense,WENDEL PEREIRA DE SOUZA,431.63,4345,9.53,99.1,0.669,20,15629.04356,13604.66511,8434.01
Juruaia,3136900,juruaiense,CLAUDECI DIVINO DE ARAUJO,220.353,10681,41.92,95.5,0.723,19.61,30830.15013,23185.67457,15923.15
Juvenília,3136959,juveniliense,ROMULO MARINHO CARNEIRO,1064.692,5715,5.36,96.7,0.592,41.67,17065.21875,14524.88641,8559.64
Ladainha,3137007,ladainhense,WALID NEDIR OLIVEIRA,866.29,18193,19.62,91.9,0.541,15,34488.8196,33542.99468,6235.7
Lagamar,3137106,lagamaraense,JOSE ALVES FILHO,1474.562,7600,5.15,99.3,0.718,24.39,21307.55795,18915.69034,33700.52
Lagoa da Prata,3137205,lago-pratense,PAULO CESAR TEODORO,439.984,52711,104.51,99.1,0.732,8.33,109985.46838,92178.61074,31853.71
Lagoa dos Patos,3137304,lagoa-patense,JOSÉ RAUL REIS,600.547,4082,7.04,98.9,0.634,66.67,15194.80901,14353.39494,10518.36
Lagoa Dourada,3137403,lagoense,MANOEL GERALDO DE RESENDE,476.693,13063,25.71,98.9,0.676,26.32,32016.10321,26787.70248,15514.51
Lagoa Formosa,3137502,lagoense,JOÃO MARTINS DE PAULA,840.92,18111,20.41,98.7,0.703,22.94,60204.00339,54752.89869,17690.03
