Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Santana do Paraíso,3158953,paraisense,LUZIA TEIXEIRA DE MELO,276.067,35369,98.76,97.1,0.685,2.97,57990.21968,55456.43713,14932.67
Santana do Riacho,3159001,riachense,ANDRÉ FERREIRA TORRES,677.207,4315,5.94,98.2,0.665,19.23,16850.37815,15122.3097,14240.9
Santana dos Montes,3159100,santanense,ANTONIO ALVES NOGUEIRA FILHO,196.565,3765,19.44,96.8,0.647,27.78,13084.65923,10835.80112,8416.57
Santa Rita de Caldas,3159209,santa-ritense,GERALDO DONIZETI DE CARVALHO,503.011,8924,17.95,98.4,0.69,11.24,22856.57478,19798.64051,15941.83
Santa Rita de Jacutinga,3159308,santa-ritense,LUIZ FERNANDO OSORIO,420.94,4863,11.86,99,0.682,40.82,15734.64106,14374.86447,10837.31
Santa Rita de Minas,3159357,santa-ritense,ADEMILSON LUCAS FERNANDES,68.153,7268,96.06,95.8,0.613,33.33,16304.65446,14908.25234,10861.02
Santa Rita de Ibitipoca,3159407,ibitipoquense,JOSE RESENDE NOGUEIRA,324.234,3402,11.05,99.1,0.63,43.48,14558.62015,12440.54818,15926.55
Santa Rita do Itueto,3159506,santa-ritense,FIRMINO TON,485.081,5457,11.74,97,0.607,25.97,16906.15052,15447.09018,22114.49
Santa Rita do Sapucaí,3159605,santa-ritense,WANDER WILSON CHAVES,352.969,43753,106.96,98,0.721,5.67,89451.88306,76633.86846,36846.9
Santa Rosa da Serra,3159704,rosalense,JOSE HUMBERTO RIBEIRO,284.334,3357,11.34,98.8,0.705,31.25,15348.27871,13127.40637,16179.5
Santa Vitória,3159803,santa-vitoriense,ISPER SALIM CURI,3001.357,19872,6.04,97.4,0.71,18.25,135887.23646,108792.25875,36716.53
Santo Antônio do Amparo,3159902,amparense,EVANDRO PAIVA CARRARA,488.885,18613,35.48,96.9,0.672,10.15,43115.92743,43882.40735,13460.72
Santo Antônio do Aventureiro,3160009,aventureirense,PAULO ROBERTO PIRES,202.032,3602,17.51,98.4,0.671,62.5,13881.31021,11691.28227,12127.72
Santo Antônio do Grama,3160108,gramense,ALCIONE FERREIRA DE ALBUQUERQUE LIMA,130.213,3886,31.37,97.1,0.633,16.67,15100.35583,14206.89684,17403.1
Santo Antônio do Itambé,3160207,itambeano,JOÃO ANTÔNIO BARACHO JÚNIOR,305.737,3799,13.52,94.6,0.558,18.87,14756.2951,13550.09258,8576.25
Santo Antônio do Jacinto,3160306,santo-antoniense,EMERSON PINHEIRO RUAS,503.706,11604,23.39,96.4,0.574,44.25,24944.54069,24525.82788,7441.49
Santo Antônio do Monte,3160405,santo-antoniense,EDMILSON APARECIDO DA COSTA,1125.78,28427,23.07,94.5,0.724,2.8,74077.78499,61029.39951,18790.88
Santo Antônio do Retiro,3160454,retirense,AILSON FABIANO RIBEIRO,796.29,7297,8.73,95.9,0.57,12.5,18555.55152,18300.35494,6633.12
Santo Antônio do Rio Abaixo,3160504,santo-antoniense,JORGE ANTÔNIO DE SÁ,107.269,1760,16.57,99.3,0.669,40,11824.2601,10184.80786,12245.62
Santo Hipólito,3160603,santo-hipolitense,GILSON SANTIAGO ARANHA JUNIOR,430.656,3065,7.52,97.7,0.657,33.33,14285.97157,11922.91447,10460.96
Santos Dumont,3160702,sandumonense,CARLOS ALBERTO DE AZEVEDO,637.373,46421,72.62,96.6,0.741,14.52,84091.38198,78633.21482,19047.48
São Bento Abade,3160801,são-bentense,JANE REZENDE SILVA ELIZEI,80.403,5349,56.93,100,0.672,15.15,15676.66897,13794.90634,11813.87
São Brás do Suaçuí,3160900,suaçuiense,ELIAS RIBEIRO DE SOUZA,110.019,3754,31.93,84.2,0.664,22.73,19860.80532,18430.43812,13672.17
São Domingos das Dores,3160959,sandominguense,JOSE ADAIR DA SILVA,60.865,5658,88.85,98.1,0.638,11.24,17556.47281,15636.55903,11695.09
São Domingos do Prata,3161007,pratense,JOSE ALFREDO DE CASTRO PEREIRA,743.768,17327,23.34,98.3,0.69,17.24,36345.23818,32758.66337,13557.94
São Félix de Minas,3161056,são felense,CLEUDISON LUIZ DA SILVA,162.56,3362,20.8,99.1,0.62,24.39,16303.98036,15057.14438,10390
São Francisco,3161106,são-franciscano,EVANILSO APARECIDO CARNEIRO,3308.1,56477,16.27,97.4,0.638,20.31,107274.06157,91432.05465,8713.69
São Francisco de Paula,3161205,francisco-paulense,MERITON BALDUÍNO ALVES,316.822,6520,20.46,96.8,0.66,13.16,19345.13524,16091.42106,14430.39
São Francisco de Sales,3161304,são-francisco-salense,JOSÉ SEBASTIÃO DE OLIVEIRA,1128.864,6274,5.12,94.8,0.688,37.04,27272.15866,23276.65327,23215.93
São Francisco do Glória,3161403,são-franciscano-do-glória,WALACE FERREIRA PEDROSA,164.613,4800,31.46,96.4,0.663,35.71,19776.22103,14718.96436,10495.41
São Geraldo,3161502,são-geraldense,MARCILIO MOREIRA BARROS,185.578,12562,55.3,96.8,0.651,21.51,23188.37247,20813.603,17187.78
São Geraldo da Piedade,3161601,são-geraldense,OZANAM OLIVEIRA DE FARIAS,152.336,3910,28.81,96.9,0.6,19.23,15654.86102,14952.74449,8567.92
São Geraldo do Baixio,3161650,baixiense,WELLERSON VALÉRIO MOREIRA,280.954,4059,12.41,97.4,0.63,52.63,13353.29092,12440.47885,9447.59
São Gonçalo do Abaeté,3161700,são-gonçalense,JOÃO PAULINO RODRIGUES NETO,2692.545,8459,2.33,98.2,0.67,40,26983.09832,23265.21676,30636.51
São Gonçalo do Pará,3161809,são-gonçalense,ANTONIO ANDRE NASCIMENTO GUIMARAES,265.73,12597,39.13,98,0.689,20.83,29284.15911,28812.41954,19404.77
São Gonçalo do Rio Abaixo,3161908,são-gonçalense,ANTÔNIO CARLOS NORONHA BICALHO,363.828,11019,26.87,98.7,0.667,21.9,171746.36659,140763.24569,289925.44
São Gonçalo do Sapucaí,3162005,são-gonçalense,ELOI RADIN ALLERAND,516.683,25561,46.27,98.8,0.715,10.34,52302.43308,48705.18978,23995.3
São Gotardo,3162104,são-gotardense,SEIJI EDUARDO SEKITA,866.087,35782,36.74,96.3,0.736,11.61,76324.71233,71900.25026,21634.89
São João Batista do Glória,3162203,gloriense,APARECIDA NILVA DOS SANTOS,547.908,7498,12.57,97.9,0.724,44.94,31025.27197,29129.09605,19031.36
São João da Lagoa,3162252,lagoano,CARLOS ALBERTO MOTA DIAS,998.015,4932,4.67,98.9,0.634,51.28,16886.02849,14018.3314,8676.64
São João da Mata,3162302,são-joanense-da-mata,DENIZE VILHENA BORGES SILVA,120.536,2746,22.66,93.3,0.653,52.63,12815.64102,11700.74588,15031.5
São João da Ponte,3162401,pontense,DANILO WAGNER VELOSO,1851.102,25098,13.7,98,0.569,10.07,56946.12445,55698.03662,7580.28
São João das Missões,3162450,missionense,JOSE NUNES DE OLIVEIRA,678.274,13125,17.27,90.8,0.529,7.58,26487.69599,26230.14643,6087.87
São João del Rei,3162500,são-joanense,NIVALDO JOSE DE ANDRADE,1452.002,90497,57.68,99.1,0.758,13.35,217915.6285,200862.01381,22530.37
São João do Manhuaçu,3162559,sanjoanense,SERGIO LÚCIO CAMILO,143.096,11674,71.6,96.7,0.65,17.24,25511.03356,22878.12035,13065.26
São João do Manteninha,3162575,manteniense,GENTIL PEREIRA MENDONÇA,137.928,5918,37.61,96.6,0.64,12.2,18660.11362,14431.19902,9401.12
São João do Oriente,3162609,são-joanense,JOAQUIM COELHO DA SILVA,120.122,7444,65.55,96.5,0.648,16.81,18336.14205,16293.92032,10189.22
São João do Pacuí,3162658,pacuíense,ARISMAR ARAÚJO BARBOSA,415.922,4448,9.76,98.7,0.625,25,15087.29717,13732.71118,7730.78
São João do Paraíso,3162708,paraisense,MÔNICA CRISTINE MENDES DE SOUSA,1925.575,23709,11.59,97.2,0.615,16.46,36929.53184,34198.33972,8435.1
São João Evangelista,3162807,evangelistano,PEDRO DE QUEIROZ BRAGA,478.183,15767,32.53,96.2,0.638,14.15,34624.42999,31903.51488,10510.67
São João Nepomuceno,3162906,são-joanense,ERNANDES JOSE DA SILVA,407.427,26447,61.5,97,0.708,13.75,59971.15156,50927.53864,15595.77
São Joaquim de Bicas,3162922,sanjoaquimbiquense,ANTONIO AUGUSTO RESENDE MAIA,71.758,32148,356.88,95.7,0.662,11.9,65084.58831,62252.10589,19984.58
São José da Barra,3162948,são josé barrense,PAULO SERGIO LEANDRO DE OLIVEIRA,308.319,7480,21.57,99.2,0.739,21.28,28593.6536,27194.23969,92868.7
São José da Lapa,3162955,lapense,DIEGO ALVARO DOS SANTOS SILVA,47.93,24135,413.08,98.5,0.729,11.66,62391.25427,57267.94144,21422.67
São José da Safira,3163003,safirense,ANTONIO LACERDA FILHO,213.881,4280,19.05,95.5,0.583,18.87,20416.05364,16682.29026,8927.95
São José da Varginha,3163102,varginense-de-são-josé,VANDEIR PAULINO DA SILVA,205.501,5079,20.43,98.4,0.704,44.44,17671.67739,13091.8561,17214.51
São José do Alegre,3163201,alegrense,JOSÉ CARLOS DA SILVA,88.794,4210,45,99.1,0.717,19.61,14623.96224,13188.04477,10113.3
São José do Divino,3163300,são-josé-divinense,MARCOS ROGERIO DA SILVA,328.704,3856,11.66,97.7,0.658,23.26,15842.51284,14024.82525,9288.93
São José do Goiabal,3163409,goiabalense,JOSE ROBERTO GARIFF GUIMARAES,189.578,5387,30.55,98.8,0.666,40.82,15645.84829,14732.02072,9600.04
São José do Jacuri,3163508,jacuriense,CLAUDIO JOSE SANTOS ROCHA,345.146,6431,18.99,95.8,0.566,33.9,19054.51281,16384.59783,9759.43
São José do Mantimento,3163607,mantimentense,CLEBER DA MATA SABINO,54.701,2806,47.38,95.8,0.657,58.82,13001.65486,12680.89818,11234.1
São Lourenço,3163706,são-lourenciano,CELIA SHIGUEMATSU CAVALCANTI FREITAS LIM,58.019,46202,717.99,98.3,0.759,14.84,147525.29626,137682.31286,21489.99
São Miguel do Anta,3163805,são-miguelense,WAGNER DAMIÃO,152.111,6944,44.44,98.5,0.644,16.95,17831.28522,15368.31821,10988.71
São Pedro da União,3163904,são-pedrense,CUSTODIO RIBEIRO GARCIA,260.827,4610,19.32,96.2,0.674,32.79,17529.06787,14496.48203,19982.92
São Pedro dos Ferros,3164001,ferrense,NEWTON GABRIEL AVELAR,402.739,7706,20.75,97.3,0.659,12.99,17776.64188,15231.95253,13455.43
São Pedro do Suaçuí,3164100,são-pedrense,RICARDO ARAUJO SOUZA,308.106,5202,18.08,96.9,0.622,15.15,16105.15783,14081.95116,10546.8
São Romão,3164209,são-romano,MARCELO MEIRELES DE MENDONÇA,2434.004,12529,4.22,97.4,0.64,18.18,26859.10115,23801.28935,11659.41
São Roque de Minas,3164308,são-roquense,ROLDAO DE FARIA MACHADO,2098.867,7076,3.19,98,0.672,15.87,23208.55225,22611.17045,27366.86
São Sebastião da Bela Vista,3164407,bela-vistense,AUGUSTO HART FERREIRA,167.428,5552,29.6,97.6,0.692,11.9,21268.22069,18854.03613,62462.42
São Sebastião da Vargem Alegre,3164431,são sebastião vargem alegrense,CLAUDIOMIR JOSE MARTINS VIEIRA,73.629,3024,38,97.7,0.66,33.33,16613.15996,14125.55814,15350.37
São Sebastião do Anta,3164472,antense,JOÃO BATISTA VINHA,80.618,6627,71.19,98.4,0.607,12.66,17233.06927,16549.01414,10619.29
São Sebastião do Maranhão,3164506,maranhense,AGUINALDO TIMOTE FERREIRA BESSA,517.83,9963,20.56,96,0.581,32.61,20752.20609,19116.88992,6960.99
São Sebastião do Oeste,3164605,sebastianense,BELARMINO LUCIANO LEITE,408.09,6863,14.22,97.3,0.626,29.13,34814.55318,25357.27354,45790.88
São Sebastião do Paraíso,3164704,paraisense,WALKER AMERICO OLIVEIRA,814.925,71445,79.74,97.8,0.722,5.42,187863.05303,180956.67381,27468.44
São Sebastião do Rio Preto,3164803,são-sebastianense,SEBASTIAO EXPEDITO QUINTAO DE ALMEIDA,128.002,1492,12.6,95.9,0.632,76.92,11215.93404,9365.67823,11863.16
São Sebastião do Rio Verde,3164902,rio-verdense,SANDRO LISBOA MARTINS,90.848,2250,23.23,98.8,0.676,58.82,12883.91577,11620.58625,12084.18
São Tiago,3165008,são-tiaguense,DENILSON SILVA REIS,572.4,10960,18.45,97,0.662,31.01,25227.02233,20751.69086,14582.2
São Tomás de Aquino,3165107,aquinense,JOSE CARLOS PIMENTA,277.928,7000,25.52,97.6,0.7,11.49,22196.75449,19934.32606,19159.53
São Tomé das Letras,3165206,são-tomeense,MARISA MACIEL DE SOUZA,369.747,7120,18,98,0.667,14.71,16805.59751,15714.72222,12610.45
São Vicente de Minas,3165305,vicenciano,JACINTO ALAIR DE PAULA,392.651,7815,17.85,97.6,0.715,12.82,19848.51173,16788.17759,21262.38
Sapucaí-Mirim,3165404,sapucaiense,JEFFERSON BENEDITO RENNO,285.073,6989,21.89,98.2,0.68,12.5,18757.80355,16250.30968,14190.63
Sardoá,3165503,sardoense,JOSE ANTONIO COELHO,141.904,6361,39.42,97.3,0.636,12.82,17628.89348,13360.74022,9503.11
Sarzedo,3165537,sarzedense,MARCELO PINHEIRO DO AMARAL,62.134,33413,415.46,99,0.734,9.21,106651.17934,91991.12062,28837.28
Setubinha,3165552,setubinhense,WARLEM ANTONIO JOSE BARBOSA,534.655,12378,20.36,95.1,0.542,29.41,22364.07646,21699.77833,7193.51
Sem-Peixe,3165560,sempeixiano,DOMINGOS SAVIO DE MIRANDA PAIVA,176.634,2606,16.12,99.7,0.654,71.43,12857.08414,11836.00156,10777.22
Senador Amaral,3165578,amaralense,ADEMILSON LOPES DA SILVEIRA,151.097,5361,34.54,98.9,0.661,9.17,17327.3041,14734.43624,10289.83
Senador Cortes,3165602,senador-cortense,PEDRO PAULO DOS SANTOS,98.336,2003,20.22,99.3,0.674,38.46,13341.09759,12153.05676,13078.74
Senador Firmino,3165701,firminense,ANTÔNIO DONIZETI DURSO,166.495,7858,43.42,93.6,0.644,10.99,20828.31999,18741.43026,9265.62
Senador José Bento,3165800,senabentense,FERNANDO CESAR FERNANDES,93.892,1461,19.9,100,0.684,133.33,12073.60053,10769.96846,13565.68
Senador Modestino Gonçalves,3165909,modestinense,VALMIR JOSÉ GUIMARÃES,952.055,4105,4.8,98.7,0.62,29.41,16222.07621,14318.00812,20881.59
Senhora de Oliveira,3166006,oliveirense,RICARDO SILVINO RODRIGUES MILAGRES,170.749,5786,33.28,96,0.631,69.77,16781.31465,15740.97866,11589.03
Senhora do Porto,3166105,portuense,SEBASTIÃO AUGUSTO DE ANDRADE FILHO,381.328,3519,9.17,97.7,0.565,43.48,15775.7016,13988.42704,10407.41
Senhora dos Remédios,3166204,remediense,DENILSON JOSE RODRIGUES RESENDE,237.815,10467,42.87,97.4,0.626,9.43,19221.03346,17431.38785,7463.52
Sericita,3166303,sericitense,MARILDA ENI COELHO REIS,166.012,7333,42.94,93.9,0.56,18.35,18277.07291,18068.00345,9538.21
Seritinga,3166402,seritinguense,MARCO ANTONIO MANSUR MOREIRA,114.769,1854,15.59,97.4,0.66,62.5,13292.72922,11009.2207,17625.9
Serra Azul de Minas,3166501,serra-azulense,LEONARDO DO CARMO COELHO,218.595,4292,19.31,90.8,0.557,31.25,14155.52592,11750.26831,7279.88
Serra da Saudade,3166600,serrano-saudalense,ALAOR JOSE MACHADO,335.659,776,2.43,96.5,0.677,166.67,13396.82615,12774.54748,23499.28
Serra dos Aimorés,3166709,serrense,IRAN PACHECO CORDEIRO,213.574,8713,39.39,97.5,0.651,13.33,18271.71891,14965.3523,9492.86
Serra do Salitre,3166808,serralitrense,PAULO GIOVANI SILVEIRA DE MELO,1295.272,11668,8.14,97.2,0.696,11.3,46777.66783,37925.87372,30096.24
Serrania,3166907,serraniense,LUIZ GONZAGA RIBEIRO NETO,209.27,7668,36.04,96.2,0.677,9.17,20684.43174,18696.78968,15957.83
Serranópolis de Minas,3166956,serranopolitano de minas,ELPIDIO RIBEIRO NETO,551.954,4809,8.02,99.3,0.633,60,16000.8826,14360.17456,7317.87
Serranos,3167004,serranense,JOSE DA CUNHA VASCONCELOS FILHO,213.173,1956,9.36,97.1,0.643,35.71,14671.1887,12387.15762,13743.34
Serro,3167103,serrano,GUILHERME SIMOES NEVES,1217.813,20940,17.11,97.9,0.656,15.15,41371.35969,35720.65236,10477.27
Sete Lagoas,3167202,sete-lagoano,DUÍLIO DE CASTRO FARIA,536.928,241835,398.32,98.6,0.76,12.14,653998.94284,601259.90186,34977.38
Silveirânia,3167301,silveiranense,JANIO DAVID LAMAS,157.456,2264,13.92,94.5,0.652,35.71,12570.59233,10655.40001,11794.57
Silvianópolis,3167400,silvianopolense,VITOR NERY DE MORAIS,312.166,6248,19.31,98.4,0.699,12.82,17131.71709,14617.47533,19151.35
Simão Pereira,3167509,simonense,ANTONIO JOSE GONÇALVES DA SILVA,135.689,2618,18.7,91.8,0.638,45.45,17383.35482,14959.24983,27469.64
Simonésia,3167608,simonense,LAERTE AUGUSTO DE SOUZA,486.543,19736,37.61,97.7,0.632,6.49,35526.17988,31760.27584,9696.43
Sobrália,3167707,sobraliense,MARIA DAS NEVES BELTRAME ANDRADE,206.787,5514,28.19,98,0.631,50.85,16698.00689,18280.09297,8739.94
Soledade de Minas,3167806,soledadense,EMERSON FERREIRA MACIEL,196.866,6189,28.83,97.1,0.697,14.93,16804.8844,15294.96283,9464.16
Tabuleiro,3167905,tabuleirense,DAURO MARTINS VIDAL,211.084,3708,19.32,99.6,0.681,76.92,14642.46631,12846.86803,12468.04
Taiobeiras,3168002,taiobeirense,DANILO MENDES RODRIGUES,1220.046,34397,25.88,98.3,0.67,20.92,68330.103,65426.87772,12995.29
Taparuba,3168051,taparubense,JOAQUIM CARLOS DA SILVA NETO,193.082,3101,16.25,97.6,0.645,27.03,14570.58495,13582.31601,11445.79
Tapira,3168101,tapirense,LILIANE MACHADO COSTA VENÂNCIO,1179.248,4832,3.49,97.2,0.712,19.23,49676.28838,39048.56722,146514.59
Tapiraí,3168200,tapiraiense,LEONARDO JOSÉ DE OLIVEIRA,407.92,1872,4.59,95.7,0.667,66.67,13058.15195,11389.23605,17464.56
Taquaraçu de Minas,3168309,taquaraçuense,ALCIDES HIPOLITO DA ASSUNÇAO FERREIRA FI,329.287,4099,11.52,98.8,0.651,29.41,16521.7331,15264.71496,11591.17
Tarumirim,3168408,tarumirinhense,MARCILIO DE PAULA BOMFIM,731.753,14302,19.53,97.1,0.633,7.19,27872.79852,27791.70862,9383.07
Teixeiras,3168507,teixeirense,JOSÉ DIOGO DRUMOND NETO,166.735,11670,68.1,96.5,0.675,8.33,25031.46145,23758.82411,11066.83
Teófilo Otoni,3168606,teófilo-otonense,DANIEL BATISTA SUCUPIRA,3242.27,140937,41.56,96.6,0.701,18.33,324391.16153,328171.3582,16667.07
Timóteo,3168705,timotense,DOUGLAS WILLKYS ALVES OLIVEIRA,144.381,90568,562.7,98.6,0.77,4.08,189151.49084,155599.42362,32349.07
Tiradentes,3168804,tiradentino,JOSÉ ANTONIO DO NASCIMENTO,83.047,8072,83.82,98,0.74,12.2,22193.76336,17933.76334,19821.52
Tiros,3168903,tirense,JULIO ANDRE DE OLIVEIRA,2091.774,6424,3.3,97.7,0.683,28.17,24971.36869,22941.67879,28062.01
Tocantins,3169000,tocantinense,IEDER WASHINGTON DE OLIVEIRA,173.866,16715,91.01,98.2,0.688,14.02,36897.78768,32472.52501,16781.56
Tocos do Moji,3169059,tocos-mogiense,ANTONIO RODRIGUES DA SILVA,114.705,4109,34.44,98.8,0.696,47.62,14190.29209,12045.21125,12005.88
Toledo,3169109,toledense,EDIO DONIZETI LEME,136.776,6297,42.14,98.1,0.661,15.63,17170.3565,13615.83985,14247.08
Tombos,3169208,tombense,LUCIENE TEIXEIRA DE MORAES,285.124,7850,33.45,97.5,0.718,11.36,21995.48845,20891.32299,10383.57
Três Corações,3169307,tricordiano,CLAUDIO COSME PEREIRA DE SOUZA,828.038,80032,87.88,97.7,0.744,16.71,176952.82623,157536.63957,28056.22
Três Marias,3169356,trimariense,ADAIR DIVINO DA SILVA,2678.253,32716,10.57,98.6,0.752,11.76,107739.57312,94030.74817,52625.97
Três Pontas,3169406,três-pontano,MARCELO CHAVES GARCIA,689.794,56940,78.08,97.8,0.731,11.28,145162.25159,125671.97058,21971.22
Tumiritinga,3169505,tumiritinguense,JOSE PAULO BRETAS CABRAL,500.073,6765,12.58,97.5,0.626,37.04,19578.85374,18265.68122,8063.4
Tupaciguara,3169604,tupaciguarense,CARLOS ALVES DE OLIVEIRA,1823.96,25398,13.26,97.7,0.719,18.12,88457.62512,70760.99478,26988.92
Turmalina,3169703,turmalinense,CARLINHOS BARBOSA XAVIER,1153.111,20125,15.66,99.2,0.682,8.3,52078.28026,46688.30147,15649.91
Turvolândia,3169802,turvolandense,ELIVELTO CARVALHO,221,5070,21.08,98.5,0.696,20,16978.15963,14965.3786,22528.68
Ubá,3169901,ubaense,EDSON TEIXEIRA FILHO,407.452,116797,249.16,97,0.724,15.85,231684.5932,174692.82577,25255.54
Ubaí,3170008,ubaiense,MARCO ANTONIO ANDRADE,820.524,12599,14.24,96.1,0.609,15.15,23303.90909,20013.83541,7446.04
Ubaporanga,3170057,ubaporanguense,GILMAR DE ASSIS RODRIGUES,189.045,12493,63.69,96.9,0.614,7.3,22345.15494,22149.11732,9718.5
Uberaba,3170107,uberabense,PAULO PIAU NOGUEIRA,4523.957,337092,65.43,97.7,0.772,9.87,1086838.65063,977098.28452,40066.32
Uberlândia,3170206,uberlandense,ODELMO LEÃO CARNEIRO SOBRINHO,4115.206,699097,146.78,98,0.789,9.03,2171504.12056,2038217.89792,50548.78
Umburatiba,3170305,umburatibense,GILNÁDIO RODRIGUES DA SILVA,405.834,2596,6.67,98.3,0.638,22.22,13488.13908,13174.89968,11313.26
Unaí,3170404,unaiense,JOSÉ GOMES BRANQUINHO,8448.082,84930,9.18,97.6,0.736,10.35,262630.04439,200487.9794,31866.55
União de Minas,3170438,uniense,JOÃO DE FREITAS LEAL,1147.407,4284,3.85,97.3,0.672,21.74,18676.5864,16855.797,29540.02
Uruana de Minas,3170479,uruanense,RONALDO FERREIRA DE MORAIS,598.221,3260,5.41,99.1,0.664,26.32,16858.33369,15737.34037,15113.93
Urucânia,3170503,urucaniense,FREDERICO BRUM DE CARVALHO,138.792,10345,74.15,99,0.633,30.3,25516.61355,22934.36391,16662.93
Urucuia,3170529,urucuiano,RUTILIO EUGENIO CAVALCANTI FILHO,2076.942,17173,6.55,95.6,0.619,20.2,33900.77728,31317.76675,8046.41
Vargem Alegre,3170578,vargealegrense,NEUDMAR FERREIRA CAMPOS,116.664,6470,55.38,98.5,0.631,16.39,17043.15446,13779.64262,8720.94
Vargem Bonita,3170602,vargiano,SAMUEL ALVES DE MATOS,409.888,2148,5.28,100,0.696,33.33,14522.92375,11427.90075,19014.6
Vargem Grande do Rio Pardo,3170651,vargengrandense,VIRGILIO TACITO PENALVA COSTA,491.512,5026,9.63,96.8,0.634,17.24,15262.83758,14355.38444,8897.06
Varginha,3170701,varginhense,ANTÔNIO SILVA,395.396,136602,311.29,97.9,0.778,10.23,417855.75203,343473.49198,40506.11
Varjão de Minas,3170750,varjonense,ANTONIO PEDRO MONTEZUMA NETO,651.505,7138,9.29,99,0.711,11.9,22951.89157,25284.84901,26192.9
Várzea da Palma,3170800,várzea-palmense,EDUARDO MONTEIRO DE MORAIS,2220.279,39803,16.13,96.9,0.666,5.48,79284.34292,69635.12749,17341
Varzelândia,3170909,varzelandense,VALQUIRIA RODRIGUES CARDOSO,814.994,19305,23.46,97.1,0.594,20.16,38483.06353,36737.45237,7637.08
Vazante,3171006,vazantino,JACQUES SOARES GUIMARAES,1913.396,20642,10.31,97.3,0.742,21.28,58512.554,47095.244,31025.27
Verdelândia,3171030,verdelandense,WILTON LEITE MADUREIRA,1570.582,9443,5.31,95.5,0.584,26.85,20529.84617,19971.08961,9114.55
Veredinha,3171071,veredinhense,EDILSON NUNES DE ARAUJO,631.692,5727,8.78,98,0.632,18.87,19276.53514,17958.01614,14914.45
Veríssimo,3171105,verissimense,LUIZ CARLOS DA SILVA,1031.823,4045,3.38,94.4,0.667,41.67,18547.15224,15263.32091,32722.61
Vermelho Novo,3171154,vermelhense,GERALDO JOSE DO CARMO,115.242,4846,40.69,94.3,0.612,45.45,14915.99542,13151.87153,9159.46
Vespasiano,3171204,vespasianense,ILCE ALVES ROCHA PERDIGÁO,71.04,129765,1467.62,96.7,0.688,12.28,308037.92152,248759.40582,21216.3
Viçosa,3171303,viçosense,ANGELO CHEQUER,299.418,79388,241.2,99,0.775,12.15,200954.05436,190636.4223,19869.94
Vieiras,3171402,vieirense,ADRIANO DOS SANTOS,112.691,3589,33.11,99.2,0.668,32.26,14570.72247,12221.79817,10074.26
Mathias Lobato,3171501,matiense,VALDIR BATISTA GONÇALVES,172.297,3179,19.56,96.8,0.612,26.32,15398.61097,13795.36113,9629.4
Virgem da Lapa,3171600,virgem-lapense,DIOGÉNES TIMO SILVA,868.914,13740,15.67,92.1,0.61,16.39,28002.84322,26395.12031,7963.06
Virgínia,3171709,virginense,CARLOS EDUARDO COSTA NEGREIROS,326.515,8663,26.41,96.9,0.651,11.63,21752.19209,16991.17341,11985.16
Virginópolis,3171808,virginopolitano,RAIMUNDO HILÁRIO VITOR,439.878,10484,24.03,98.2,0.675,23.44,27243.44879,24562.06588,12967.44
Virgolândia,3171907,virgolandense,ARNALDO DE OLIVEIRA BRAGA,281.022,5340,20.13,98.4,0.62,25,16180.39857,14204.91957,8943.63
Visconde do Rio Branco,3172004,rio-branquense,IRAN SILVA COURI,243.351,42965,155.91,97.5,0.709,11.24,95622.01006,94804.05883,26962.77
Volta Grande,3172103,volta-grandense,JORGE LUIZ GOMES DA COSTA,205.552,5261,24.36,98,0.669,15.87,17008.37192,14355.4238,11865.03
Wenceslau Braz,3172202,wenceslauense,GERALDO MAGELA ELOI,102.487,2548,24.91,98.3,0.678,58.82,12098.5477,10019.16868,9957.83
